CustomerKey,CustomerName,Segment,Country,Region
PL746-92-67-437,ProGroup,B2B,Polska,Opolskie
PL514-09-58-092,MegaConsulting,B2B,Polska,Opolskie
CZ24264861,Digis.r.o.,B2B,Czechy,
CZ989413672,TechSlužby,B2B,Czechy,
PL559-35-19-193,InterPolska,B2B,Polska,Kujawsko-pomorskie
PL741-47-98-808,SmartPartners,B2B,Polska,Małopolskie
PL720-72-20-496,PolPartners,B2B,Polska,Mazowieckie
DE871066742,BlitzWerk,B2B,Niemcy,
PL242-04-96-689,PolExpo,B2B,Polska,Dolnośląskie
PL603-34-66-362,DigiExpo,B2B,Polska,Mazowieckie
DE845396860,TechLogistik,B2B,Niemcy,
PL826-57-84-029,MegaPolska,B2B,Polska,Mazowieckie
DE578300936,InfoSolutions,B2B,Niemcy,
PL001-15-64-002,InterSerwis,B2B,Polska,Śląskie
PL563-67-05-743,InfoLogistics,B2B,Polska,Małopolskie
PL085-23-32-922,CyberConsulting,B2B,Polska,Podkarpackie
PL617-08-81-692,SmartExpo,B2B,Polska,Łódzkie
PL301-04-46-882,DataGroup,B2B,Polska,Lubuskie
DE570730735,BauTechnik,B2B,Niemcy,
PL828-11-15-283,TechHandel,B2B,Polska,Wielkopolskie
PL377-62-00-256,DigiLogistics,B2B,Polska,Śląskie
CZ5714004232,TechLogistika,B2B,Czechy,
PL452-84-70-420,CyberSolutions,B2B,Polska,Podlaskie
PL218-95-92-771,NowaLogistics,B2B,Polska,Śląskie
PL919-07-08-569,SmartInvest,B2B,Polska,Śląskie
PL968-33-07-261,InfoConsulting,B2B,Polska,Zachodniopomorskie
PL959-95-03-955,TransExpo,B2B,Polska,Śląskie
PL463-53-26-731,MegaInvest,B2B,Polska,Podkarpackie
PL296-94-94-684,TechInvest,B2B,Polska,Lubelskie
DE158740645,SchnellDienst,B2B,Niemcy,
PL245-84-03-499,NowaSolutions,B2B,Polska,Dolnośląskie
PL469-95-43-139,PolGroup,B2B,Polska,Mazowieckie
PL437-61-03-712,MegaSystems,B2B,Polska,Zachodniopomorskie
PL420-07-91-212,SmartSystems,B2B,Polska,Dolnośląskie
PL991-28-63-941,GlobalBud,B2B,Polska,Wielkopolskie
DE384839487,DatenGmbH,B2B,Niemcy,
PL067-64-06-682,EuroSystems,B2B,Polska,Mazowieckie
PL852-03-82-863,DataInvest,B2B,Polska,Małopolskie
PL283-43-46-864,PolInvest,B2B,Polska,Małopolskie
PL426-18-99-056,InterPolska,B2B,Polska,Dolnośląskie
PL914-45-27-053,TechConsulting,B2B,Polska,Podkarpackie
CZ256992621,VelkObchod,B2B,Czechy,
PL860-28-08-705,NetLogistics,B2B,Polska,Mazowieckie
PL454-43-22-381,EkoPartners,B2B,Polska,Lubuskie
PL045-52-68-975,MegaPolska,B2B,Polska,Śląskie
PL397-91-48-350,EuroSystems,B2B,Polska,Śląskie
PL251-24-81-971,TransSolutions,B2B,Polska,Dolnośląskie
PL010-49-85-001,EuroGroup,B2B,Polska,Wielkopolskie
PL650-44-52-464,NetSolutions,B2B,Polska,Mazowieckie
PL480-23-00-717,SmartInvest,B2B,Polska,Wielkopolskie
PL210-54-80-644,InterSerwis,B2B,Polska,Małopolskie
PL151-11-21-385,TechPolska,B2B,Polska,Świętokrzyskie
DE692043970,KraftGmbH,B2B,Niemcy,
PL154-12-86-657,CyberPolska,B2B,Polska,Małopolskie
PL219-22-44-195,NetLogistics,B2B,Polska,Wielkopolskie
PL910-98-98-857,InterBud,B2B,Polska,Małopolskie
DE093070237,SüdBeratung,B2B,Niemcy,
PL197-26-26-195,DataGroup,B2B,Polska,Małopolskie
PL496-80-65-980,GlobalHandel,B2B,Polska,Śląskie
PL813-51-77-029,EuroSolutions,B2B,Polska,Wielkopolskie
PL175-48-04-545,DigiConsulting,B2B,Polska,Pomorskie
PL768-62-27-437,EkoLogistics,B2B,Polska,Zachodniopomorskie
PL355-07-52-817,PolGroup,B2B,Polska,Opolskie
PL953-23-03-009,InterLogistics,B2B,Polska,Mazowieckie
PL320-51-79-469,MegaSerwis,B2B,Polska,Mazowieckie
PL048-08-75-620,NetExpo,B2B,Polska,Podkarpackie
CZ478122075,VelkLogistika,B2B,Czechy,
PL424-44-29-389,EuroSerwis,B2B,Polska,Podkarpackie
PL250-60-80-061,InterSolutions,B2B,Polska,Wielkopolskie
DE262552627,KraftTechnik,B2B,Niemcy,
PL363-58-04-603,DigiSerwis,B2B,Polska,Pomorskie
PL055-37-37-743,MegaSerwis,B2B,Polska,Warmińsko-mazurskie
